"Court_changes","More_time_in_cell","Less_showers","Cancelled_visits","Less_staff","No_education","Less_work","Less_MH_support","Less_PH_support","Changes_in_mealtimes","More_time_cell_mates","Changes_in_timetable","Less_gym","Difficult_busy_in_cell","LOW_MOOD","ANXIOUS","SCARED","WORRY","V_AND_V","SLEEP","EATING","DRUGS","UPSETTING_THOUGHTS","UPSETTING_MEMORIES","NIGHTMARES","FRUSTRATION_ANGER","ARGUMENTS","DSH","SUICIDAL_THOUGHTS","FEELING_SAFE"
"Court_changes","             NA","0.3361099248215","0.0060727261022","0.4074910322923","0.6146467541614","0.6559335427209","0.3148635303371","0.6135199844653","0.4835974260412","0.5489526612638","0.4576276862525","0.0402445191783","0.1650087034775","0.0823569983214","0.3297033863623","0.4864812633009","0.0025848527358","0.0492159705149","0.0794854521074","0.9577499800624","0.2634911404395","0.0044728491732","0.0641600779155","0.3766337435305","0.0651601523872","0.8918107091767","0.0853469373397","0.2099825878021","0.0488111685973","0.0739662538182"
"More_time_in_cell","0.3361099248215","             NA","0.0000510617521","0.5683178624424","0.3755936143313","0.0741332671262","0.0237962359381","0.0741332671262","0.6502552420490","0.6795354743858","0.3059457997346","0.1065099453611","0.7159513187592","0.6502552420490","0.5940423822243","0.6638527240707","0.4045256194015","0.2475508022624","0.1418600086018","0.8338070802056","0.1384394931231","0.6491828829467","0.9371406911871","0.9056457976900","0.0937047653820","0.7464871650532","0.4038142695288","0.8735637466969","0.4148360089492","0.4690046016408"
"Less_showers","0.0060727261022","0.0000510617521","             NA","0.5683178624424","0.3755936143313","0.0741332671262","0.0237962359381","0.6212419562187","0.6502552420490","0.0563227793816","0.3059457997346","0.0000725501918","0.0088695880397","0.0460417214845","0.5940423822243","0.3375768750937","0.4045256194015","1.0000000000000","0.0112826292018","0.8338070802056","0.7689103476033","0.6491828829467","0.9371406911871","0.9056457976900","0.0937047653820","0.3304782016450","0.4038142695288","0.8735637466969","0.4148360089492","0.4690046016408"
"Cancelled_visits","0.4074910322923","0.5683178624424","0.5683178624424","             NA","0.4576276862525","0.9859209367897","0.3540591042500","0.9859209367897","0.8501085613564","0.5733162292336","0.5004333145340","0.3493154556056","0.0329974091553","0.8501085613564","0.1947387100479","0.4457411977146","0.6705569439657","0.3864634798340","0.6006926905027","0.4175686772094","0.4175686772094","0.1892399723493","0.4403822704178","0.4942857094852","0.7264623779371","0.2909535748533","0.1787320680475","0.7199225293458","0.9459151718628","0.6905828998785"
"Less_staff","0.6146467541614","0.3755936143313","0.3755936143313","0.4576276862525","             NA","0.0256701326096","0.3705016946199","0.2047444710300","0.5551375881105","0.1119879954167","0.9241831021377","0.3231965627325","0.2011923108363","0.1100151614191","0.6883089515722","0.5085188935737","0.5978043556040","0.8132461677501","0.5935589594075","0.8563879483048","0.2492329046725","0.4762684780679","0.9870780736575","0.2500521463043","0.5080799149063","0.7399175656448","0.6345477479479","0.7289257659769","0.9556043477813","0.1785039378760"
"No_education","0.6559335427209","0.0741332671262","0.0741332671262","0.9859209367897","0.0256701326096","             NA","0.0302667569965","0.7680484475338","0.3752076484823","0.6916695896910","0.2424458045778","0.8820232449267","0.3599550945376","0.6430663328217","0.5194999478388","0.6452494844018","0.5118736683734","0.7484402781055","0.4055690682684","0.4321447585703","0.2849834779829","0.0646355044510","0.2238762259696","0.0426955595385","0.2255821702447","0.3198498870691","0.3934750187679","0.0093822704889","0.0552043913747","0.8403572605476"
"Less_work","0.3148635303371","0.0237962359381","0.0237962359381","0.3540591042500","0.3705016946199","0.0302667569965","             NA","0.0302667569965","0.4039703773194","0.8467047001832","0.4887409765080","0.6042494246636","0.1916088258253","0.4039703773194","0.0219268234086","0.7999116467158","0.1985925677129","0.7091323401202","0.1658165419859","0.0097400576013","0.5043506256719","0.7251955250103","0.0266514091306","0.1517067033841","0.3149969553663","0.9165699193166","0.8026394638358","0.7964277929258","0.6601492143905","0.1429406892828"
"Less_MH_support","0.6135199844653","0.0741332671262","0.6212419562187","0.9859209367897","0.2047444710300","0.7680484475338","0.0302667569965","             NA","0.0665339144378","0.0386099047865","0.6232257537338","0.1785039378760","0.3599550945376","0.0009751546046","0.0230360850394","0.0039962762391","0.0506998116484","0.1052401837838","0.3857657926226","0.0197466426500","0.8059507628449","0.5005184896768","0.0521563445744","0.1945287781622","0.2255821702447","0.0832237509969","0.3934750187679","0.7969397340388","0.5964553255912","0.0295436968324"
"Less_PH_support","0.4835974260412","0.6502552420490","0.6502552420490","0.8501085613564","0.5551375881105","0.3752076484823","0.4039703773194","0.0665339144378","             NA","0.4587508712110","0.0825662433627","0.1083536068623","0.5141443832137","0.5273752929620","0.9156348535266","0.3766034974018","0.9140995803321","1.0000000000000","0.3055013478453","0.2364756046397","0.5985122318254","0.8838394175732","0.8876832830488","0.8318789018107","0.2665007011998","0.1737003279473","0.0376228197397","0.3502397920204","0.8714425206084","0.1389926681142"
"Changes_in_mealtimes","0.5489526612638","0.6795354743858","0.0563227793816","0.5733162292336","0.1119879954167","0.6916695896910","0.8467047001832","0.0386099047865","0.4587508712110","             NA","0.5559081408284","0.0000211834821","0.0052778055939","0.0003986834375","0.1441627377122","0.1153111591125","0.6043068826024","0.2949856924656","0.1351215198567","0.2610047653366","0.4879239277073","0.6341648431172","0.9202694698229","0.7909172155190","0.2840137227575","0.2632008422707","0.3150118385543","0.9402059581132","0.7306937479610","0.0014046709733"
"More_time_cell_mates","0.4576276862525","0.3059457997346","0.3059457997346","0.5004333145340","0.9241831021377","0.2424458045778","0.4887409765080","0.6232257537338","0.0825662433627","0.5559081408284","             NA","0.0091686699576","0.5045522822463","0.0074468721244","0.0287296812627","0.4633166341433","0.0079048118557","0.0881589917960","0.0278458494548","0.3965324985211","0.1585357722822","0.0220577006988","0.2112377011522","0.3450793239190","0.0029537240490","0.4059969420578","0.0353516526782","0.1065050286739","0.0336923881524","0.0016932265728"
"Changes_in_timetable","0.0402445191783","0.1065099453611","0.0000725501918","0.3493154556056","0.3231965627325","0.8820232449267","0.6042494246636","0.1785039378760","0.1083536068623","0.0000211834821","0.0091686699576","             NA","0.0000431497292","0.0000000003127","0.7086601087683","0.8549547120679","0.4928464980002","0.2234505284086","0.3493154556056","0.7910408469496","1.0000000000000","0.7128112462867","0.4053332782354","0.3587737864615","0.1907743726014","1.0000000000000","0.3975839448260","0.8407437801725","0.5678621644541","0.0300292963551"
"Less_gym","0.1650087034775","0.7159513187592","0.0088695880397","0.0329974091553","0.2011923108363","0.3599550945376","0.1916088258253","0.3599550945376","0.5141443832137","0.0052778055939","0.5045522822463","0.0000431497292","             NA","0.0000004733133","0.7985853050390","0.7078148818812","0.6397815488736","0.4071232148024","0.0329974091553","0.5062574058071","0.2022949268577","0.5127601580008","0.9097313580344","0.2782256568947","0.8885418362611","0.1600726698482","0.8245756275472","0.8190291170234","0.6965887777452","0.1423775220561"
"Difficult_busy_in_cell","0.0823569983214","0.6502552420490","0.0460417214845","0.8501085613564","0.1100151614191","0.6430663328217","0.4039703773194","0.0009751546046","0.5273752929620","0.0003986834375","0.0074468721244","0.0000000003127","0.0000004733133","             NA","0.0679607153685","0.1042711524525","0.0460417214845","0.0045627398266","0.4262377834136","0.2364756046397","0.3792171508877","0.8838394175732","0.0138857983293","0.0110320930401","0.2665007011998","0.1737003279473","0.1424564300035","0.3502397920204","0.4172427299775","0.0031990685263"
"LOW_MOOD","0.3297033863623","0.5940423822243","0.5940423822243","0.1947387100479","0.6883089515722","0.5194999478388","0.0219268234086","0.0230360850394","0.9156348535266","0.1441627377122","0.0287296812627","0.7086601087683","0.7985853050390","0.0679607153685","             NA","0.0000010293641","0.0042975108077","0.0001173762630","0.0525155243688","0.0001639214793","0.0012741379038","0.6765128211447","0.0000453981379","0.0013468318744","0.0093222782740","0.0000374193411","0.1106644273685","0.2166766461138","0.1799886527366","0.0170445521871"
"ANXIOUS","0.4864812633009","0.6638527240707","0.3375768750937","0.4457411977146","0.5085188935737","0.6452494844018","0.7999116467158","0.0039962762391","0.3766034974018","0.1153111591125","0.4633166341433","0.8549547120679","0.7078148818812","0.1042711524525","0.0000010293641","             NA","0.0007722987072","0.0001700052784","0.3261360739250","0.0264974177111","0.0309475468886","0.5721437800153","0.0004699172892","0.0070243029014","0.0015190939410","0.0002894087862","0.1062248585107","0.0610865179822","0.0470543558021","0.0126728269185"
"SCARED","0.0025848527358","0.4045256194015","0.4045256194015","0.6705569439657","0.5978043556040","0.5118736683734","0.1985925677129","0.0506998116484","0.9140995803321","0.6043068826024","0.0079048118557","0.4928464980002","0.6397815488736","0.0460417214845","0.0042975108077","0.0007722987072","             NA","0.0000554814420","0.0008425798946","0.0072718299665","0.0026837234348","0.0041679854765","0.0000129278388","0.0005856268094","0.0111047145084","0.2097047350943","0.0069592063722","0.0034797257723","0.0034342740542","0.0000000088133"
"WORRY","0.0492159705149","0.2475508022624","1.0000000000000","0.3864634798340","0.8132461677501","0.7484402781055","0.7091323401202","0.1052401837838","1.0000000000000","0.2949856924656","0.0881589917960","0.2234505284086","0.4071232148024","0.0045627398266","0.0001173762630","0.0001700052784","0.0000554814420","             NA","0.0185438029167","0.0006841052608","0.0004544605278","0.0766061290988","0.0000000124091","0.0003264053478","0.0511587357804","0.0000013536872","0.0060470793811","0.1898030913050","0.0607975035063","0.0021373999046"
"V_AND_V","0.0794854521074","0.1418600086018","0.0112826292018","0.6006926905027","0.5935589594075","0.4055690682684","0.1658165419859","0.3857657926226","0.3055013478453","0.1351215198567","0.0278458494548","0.3493154556056","0.0329974091553","0.4262377834136","0.0525155243688","0.3261360739250","0.0008425798946","0.0185438029167","             NA","0.3269372810550","0.8254513853441","0.0415912818825","0.2581477505011","0.4573599793091","0.0186065313558","0.8082720540306","0.7870577936603","0.7803797854110","0.1150192201536","0.0613847489861"
"SLEEP","0.9577499800624","0.8338070802056","0.8338070802056","0.4175686772094","0.8563879483048","0.4321447585703","0.0097400576013","0.0197466426500","0.2364756046397","0.2610047653366","0.3965324985211","0.7910408469496","0.5062574058071","0.2364756046397","0.0001639214793","0.0264974177111","0.0072718299665","0.0006841052608","0.3269372810550","             NA","0.0000001384925","0.2656552155962","0.0000022599259","0.0033091401682","0.0131171687943","0.0000002219557","0.0005164975173","0.1856382776531","0.3433549064282","0.0051921482241"
"EATING","0.2634911404395","0.1384394931231","0.7689103476033","0.4175686772094","0.2492329046725","0.2849834779829","0.5043506256719","0.8059507628449","0.5985122318254","0.4879239277073","0.1585357722822","1.0000000000000","0.2022949268577","0.3792171508877","0.0012741379038","0.0309475468886","0.0026837234348","0.0004544605278","0.8254513853441","0.0000001384925","             NA","0.0065660362628","0.0000007890558","0.0006446664717","0.0057451583369","0.0000007081822","0.0008665882640","0.0786889464990","0.0245512696632","0.0260723699315"
"DRUGS","0.0044728491732","0.6491828829467","0.6491828829467","0.1892399723493","0.4762684780679","0.0646355044510","0.7251955250103","0.5005184896768","0.8838394175732","0.6341648431172","0.0220577006988","0.7128112462867","0.5127601580008","0.8838394175732","0.6765128211447","0.5721437800153","0.0041679854765","0.0766061290988","0.0415912818825","0.2656552155962","0.0065660362628","             NA","0.1499111088142","0.0558912351661","0.0250239512835","0.5021485692029","0.0000220828134","0.0000485283827","0.0000015867308","0.0326682129859"
"UPSETTING_THOUGHTS","0.0641600779155","0.9371406911871","0.9371406911871","0.4403822704178","0.9870780736575","0.2238762259696","0.0266514091306","0.0521563445744","0.8876832830488","0.9202694698229","0.2112377011522","0.4053332782354","0.9097313580344","0.0138857983293","0.0000453981379","0.0004699172892","0.0000129278388","0.0000000124091","0.2581477505011","0.0000022599259","0.0000007890558","0.1499111088142","             NA","0.0000000010535","0.0001854763737","0.0000022271650","0.0210088907608","0.0126950192364","0.0119418929162","0.0045311245887"
"UPSETTING_MEMORIES","0.3766337435305","0.9056457976900","0.9056457976900","0.4942857094852","0.2500521463043","0.0426955595385","0.1517067033841","0.1945287781622","0.8318789018107","0.7909172155190","0.3450793239190","0.3587737864615","0.2782256568947","0.0110320930401","0.0013468318744","0.0070243029014","0.0005856268094","0.0003264053478","0.4573599793091","0.0033091401682","0.0006446664717","0.0558912351661","0.0000000010535","             NA","0.0011276817671","0.0000899638899","0.1855268499378","0.0289789780311","0.0103211338491","0.0459993967809"
"NIGHTMARES","0.0651601523872","0.0937047653820","0.0937047653820","0.7264623779371","0.5080799149063","0.2255821702447","0.3149969553663","0.2255821702447","0.2665007011998","0.2840137227575","0.0029537240490","0.1907743726014","0.8885418362611","0.2665007011998","0.0093222782740","0.0015190939410","0.0111047145084","0.0511587357804","0.0186065313558","0.0131171687943","0.0057451583369","0.0250239512835","0.0001854763737","0.0011276817671","             NA","0.0016143085855","0.1587534477529","0.0860291450011","0.0365367964878","0.0100619094336"
"FRUSTRATION_ANGER","0.8918107091767","0.7464871650532","0.3304782016450","0.2909535748533","0.7399175656448","0.3198498870691","0.9165699193166","0.0832237509969","0.1737003279473","0.2632008422707","0.4059969420578","1.0000000000000","0.1600726698482","0.1737003279473","0.0000374193411","0.0002894087862","0.2097047350943","0.0000013536872","0.8082720540306","0.0000002219557","0.0000007081822","0.5021485692029","0.0000022271650","0.0000899638899","0.0016143085855","             NA","0.0108682970571","0.1765661992805","0.1627179366543","0.0139343393133"
"ARGUMENTS","0.0853469373397","0.4038142695288","0.4038142695288","0.1787320680475","0.6345477479479","0.3934750187679","0.8026394638358","0.3934750187679","0.0376228197397","0.3150118385543","0.0353516526782","0.3975839448260","0.8245756275472","0.1424564300035","0.1106644273685","0.1062248585107","0.0069592063722","0.0060470793811","0.7870577936603","0.0005164975173","0.0008665882640","0.0000220828134","0.0210088907608","0.1855268499378","0.1587534477529","0.0108682970571","             NA","0.0000112419098","0.0000351017247","0.0000205663351"
"DSH","0.2099825878021","0.8735637466969","0.8735637466969","0.7199225293458","0.7289257659769","0.0093822704889","0.7964277929258","0.7969397340388","0.3502397920204","0.9402059581132","0.1065050286739","0.8407437801725","0.8190291170234","0.3502397920204","0.2166766461138","0.0610865179822","0.0034797257723","0.1898030913050","0.7803797854110","0.1856382776531","0.0786889464990","0.0000485283827","0.0126950192364","0.0289789780311","0.0860291450011","0.1765661992805","0.0000112419098","             NA","0.0000000000000","0.0000601930724"
"SUICIDAL_THOUGHTS","0.0488111685973","0.4148360089492","0.4148360089492","0.9459151718628","0.9556043477813","0.0552043913747","0.6601492143905","0.5964553255912","0.8714425206084","0.7306937479610","0.0336923881524","0.5678621644541","0.6965887777452","0.4172427299775","0.1799886527366","0.0470543558021","0.0034342740542","0.0607975035063","0.1150192201536","0.3433549064282","0.0245512696632","0.0000015867308","0.0119418929162","0.0103211338491","0.0365367964878","0.1627179366543","0.0000351017247","0.0000000000000","             NA","0.0022544851783"
"FEELING_SAFE","0.0739662538182","0.4690046016408","0.4690046016408","0.6905828998785","0.1785039378760","0.8403572605476","0.1429406892828","0.0295436968324","0.1389926681142","0.0014046709733","0.0016932265728","0.0300292963551","0.1423775220561","0.0031990685263","0.0170445521871","0.0126728269185","0.0000000088133","0.0021373999046","0.0613847489861","0.0051921482241","0.0260723699315","0.0326682129859","0.0045311245887","0.0459993967809","0.0100619094336","0.0139343393133","0.0000205663351","0.0000601930724","0.0022544851783","             NA"
